DateTime,cpu %user,cpu %nice,cpu %sys,cpu %iowait,cpu %steal,%idle,Total Memory,Used Memory,Free Memory,Shared Memory,Buffers Memory,Cached Memory,Load-1Min,Load-5Min,Load-15Min,Server Status
09-04-2019 05:50,2.51,0,7.54,0,0,89.95,7823,5029,799,283,1993,2152,0.03,0.07,0.05,Normal
09-04-2019 05:55,2.5,0,6,0,0,91.5,7823,5029,799,283,1993,2152,0.12,0.12,0.07,Normal
09-04-2019 06:00,1.5,0,5.5,0,0,93,7823,5030,799,283,1993,2152,0.05,0.08,0.06,Normal
09-04-2019 06:05,2.51,0,8.04,0,0,89.45,7823,5030,799,283,1993,2151,0.1,0.1,0.07,Normal
09-04-2019 06:10,3,0,8.5,0,0,88.5,7823,5030,798,283,1994,2151,0.04,0.08,0.06,Normal
09-04-2019 06:15,2.53,0,7.07,0,0,90.4,7823,5030,797,283,1994,2150,0.02,0.04,0.05,Normal
09-04-2019 06:20,2.99,0,7.46,0,0,89.55,7823,5043,312,283,2467,2137,0.15,0.14,0.08,Normal
09-04-2019 06:20,2.01,0,7.04,0,0,90.95,7823,5044,312,283,2466,2137,0.04,0.08,0.07,Normal
09-04-2019 06:25,1.5,0,4.5,0,0,94,7823,5054,338,283,2430,2127,0.07,0.12,0.09,Normal
09-04-2019 06:30,2.51,0,7.54,0,0,89.95,7823,5056,329,283,2436,2125,0,0.05,0.06,Normal
09-04-2019 06:35,0.5,0,1.01,0,0,98.49,7823,5055,330,283,2436,2125,0.01,0.04,0.05,Normal
09-04-2019 06:40,5.05,0,7.07,0,0,87.88,7823,5183,232,283,2407,1996,0.01,0.02,0.05,Warning
09-04-2019 06:45,2.53,0,7.58,0,0,89.9,7823,5050,366,283,2406,2130,0,0.03,0.05,Normal
09-04-2019 06:50,14.57,0,10.05,0,0,75.38,7823,5088,327,283,2406,2092,0.1,0.06,0.05,Warning
09-04-2019 06:55,45.23,0,17.09,0,0,37.69,7823,5153,263,283,2406,2027,0.05,0.05,0.05,Warning
09-04-2019 07:00,3.02,0,7.04,0,0,89.95,7823,5052,364,283,2406,2129,0,0.03,0.05,Normal
09-04-2019 07:05,2,0,6,0,0,92,7823,5048,406,283,2368,2133,0.04,0.11,0.09,Normal
09-04-2019 07:10,2.53,0,8.08,0,0,89.39,7823,5062,392,283,2368,2118,0.09,0.08,0.08,Normal
09-04-2019 07:15,2.5,0,7.5,0,0,90,7823,5049,405,283,2368,2132,0.03,0.09,0.09,Normal
09-04-2019 07:20,3.02,0,7.04,0,0,89.95,7823,5049,404,283,2368,2131,0.36,0.12,0.09,Normal
09-04-2019 07:25,2.02,0,4.55,0,0,93.43,7823,5099,354,283,2369,2081,0.41,0.15,0.1,Warning
09-04-2019 07:30,3,0,6,0,0,91,7823,5048,405,283,2369,2133,0.16,0.1,0.09,Normal
09-04-2019 07:35,3.02,0,9.55,0,0,87.44,7823,5048,405,283,2369,2133,0.01,0.07,0.09,Normal
09-04-2019 07:40,2.01,0,6.03,0,0,91.96,7823,5048,405,283,2368,2133,0.15,0.11,0.1,Normal
09-04-2019 07:45,3,0,7.5,0,0,89.5,7823,5048,404,283,2369,2132,0.32,0.13,0.11,Normal
09-04-2019 07:50,3,0,6.5,0,0,90.5,7823,5049,404,283,2369,2131,0.26,0.12,0.12,Normal
09-04-2019 07:55,2.53,0,8.59,0,0,88.89,7823,5049,404,283,2369,2131,0.16,0.09,0.1,Normal
09-04-2019 08:00,4.02,0,8.54,0,0,87.44,7823,5048,404,283,2369,2132,0.01,0.05,0.09,Normal
09-04-2019 08:05,3.52,0,8.04,0,0,88.44,7823,5047,406,283,2369,2133,0.33,0.13,0.11,Normal
09-04-2019 08:10,2,0,6.5,0,0,91.5,7823,5049,401,283,2372,2131,0.38,0.22,0.15,Normal
09-04-2019 08:15,2,0,7.5,0,0,90.5,7823,5061,389,283,2372,2119,0,0.09,0.12,Normal
09-04-2019 08:20,2,0,6,0,0,92,7823,5048,402,283,2371,2132,0.33,0.12,0.12,Normal
09-04-2019 08:25,2,0,7.5,0,0,90.5,7823,5049,402,283,2371,2132,0.39,0.17,0.15,Normal
09-04-2019 08:30,3.05,0,8.63,0,0,88.32,7823,5062,388,283,2372,2119,0.18,0.14,0.14,Normal
09-04-2019 08:35,12,0,11,0,0,77,7823,5061,389,283,2372,2119,0.15,0.18,0.15,Normal
09-04-2019 08:40,2.49,0,6.97,0,0,90.55,7823,5049,401,283,2372,2132,0,0.08,0.12,Normal
09-04-2019 08:45,2.01,0,6.03,0,0,91.96,7823,5061,389,283,2371,2120,0.17,0.12,0.14,Normal
09-04-2019 08:50,2.5,0,7.5,0,0,90,7823,5125,323,283,2373,2054,0.05,0.13,0.14,Warning
09-04-2019 08:55,2.03,0,6.09,0,0,91.88,7823,5100,348,283,2373,2080,0.21,0.13,0.14,Warning
09-04-2019 09:00,3.05,0,7.11,0,0,89.85,7823,5280,237,283,2305,1898,0.29,0.25,0.18,Warning
09-04-2019 09:05,41.5,0,12.5,0,0,46,7823,5164,353,283,2304,2015,0.4,0.19,0.16,Warning
09-04-2019 09:10,2.99,0,7.96,0,0,89.05,7823,5111,406,283,2304,2068,0.1,0.18,0.18,Warning
09-04-2019 09:15,22.22,0,13.64,0,0,64.14,7823,5164,353,283,2305,2016,0.05,0.11,0.14,Warning
09-04-2019 09:20,5.08,0,9.64,0,0,85.28,7823,5212,342,283,2268,1967,0.28,0.21,0.17,Warning
09-04-2019 09:25,22.11,0,8.04,0,0,69.85,7823,5280,354,283,2188,1898,0.45,0.26,0.21,Warning
09-04-2019 09:30,4.02,0,9.05,0,0,86.93,7823,5197,436,283,2188,1981,0.12,0.33,0.28,Warning
09-04-2019 09:35,3.02,0,8.04,0,0,88.94,7823,5172,512,283,2138,2006,0.65,0.48,0.34,Warning
09-04-2019 09:40,28.14,0,14.07,0,0,57.79,7823,5248,434,283,2139,1930,0.23,0.37,0.34,Warning
09-04-2019 09:45,31.66,0,15.58,0,0,52.76,7823,5352,328,283,2141,1825,0.45,0.37,0.34,Warning
09-04-2019 09:50,17.26,0,13.71,0,0,69.04,7823,5378,301,283,2143,1799,0.44,0.31,0.32,Warning
